character_name,release_year,best_of_episodes,non_best_of_episodes,episodes
"Skints McGlinty","2019",0,1,1
"Bever Hopox","2018",1,0,1
"Noel","2023",0,1,1
"Carl Smart","2017",0,1,1
"Batman","2019",0,1,1
"Mimsy Campbell","2022",0,1,1
"Sunny","2015",1,0,1
"Bill Cosby-Bukowski","2013",0,3,3
"Cal Solomon","2022",1,1,2
"Bean Dip","2023",0,3,3
"Chazmin","2019",0,1,1
"R. Schrift","2017",1,0,1
"Martin Sheffield Lickly","2018",1,0,1
"Shimmy","2023",0,1,1
"Burnt Millipede","2021",0,1,1
"Scott Jeffries","2018",0,1,1
"Lil' Gary","2010",2,1,3
"August Lindt","2014",1,0,1
"Mike the Janitor","2017",0,2,2
"Gil Faizon","2012",1,0,1
"Alan Thicke","2014",0,2,2
"Bisby St. Hancock","2021",1,0,1
"Bever Hopox","2014",1,0,1
"Byron Denniston","2015",0,1,1
"Cal Solomon","2023",0,1,1
"Chazmin","2017",1,0,1
"Bueford LeBaron","2017",0,1,1
"Ho Ho the Elf","2019",0,1,1
"Cake Boss","2010",1,2,3
"Messmore LeBaron","2015",0,1,1
"Gino Lombardo","2017",5,5,10
"Byron Denniston","2018",0,1,1
"The Time Keeper","2022",0,1,1
"The Griz","2021",1,0,1
"Marissa Wompler","2017",0,2,2
"Alan Thicke","2015",2,0,2
"Fourvel","2014",1,1,2
"Entrée PeeE Neur","2018",1,0,1
"Bob Ducca","2012",0,1,1
"Sprague The Whisperer","2019",1,2,3
"The Chief","2023",0,2,2
"Byron Denniston","2014",1,0,1
"Rudi North","2020",1,0,1
"Mike the Janitor","2019",0,1,1
"Jesse Ventura","2016",1,0,1
"Miss Listler","2012",1,0,1
"El Chupacabra","2017",1,0,1
"Cake Boss","2022",0,1,1
"Jesse Ventura","2014",0,2,2
"Marissa Wompler","2019",0,1,1
"Willamina Wonka","2019",0,1,1
"Quita Baxter","2021",1,0,1
"Janice Cramps","2017",1,0,1
"Cutie Cake","2015",0,1,1
"El Chupacabro","2013",1,0,1
"Derek Contrera","2017",1,0,1
"Topher Schmidty","2019",0,1,1
"Dr. Lionel Drioche","2015",0,2,2
"Denise Funt","2015",0,1,1
"Dean Hormel","2022",0,1,1
"Australian Dad on a Holiday","2023",0,1,1
"Maurice Flatbottom","2021",0,1,1
"Ton Liman","2015",0,1,1
"Johnny Depp","2022",1,0,1
"Pam Carton","2017",0,1,1
"Kelvin","2022",0,1,1
"Judy North","2019",0,1,1
"C-Czar","2014",0,1,1
"Gareth Cloakman","2021",0,1,1
"Darren Matichek","2021",1,0,1
"HP-DP-69B","2014",1,0,1
"Todd Padre","2022",0,2,2
"Tic-Tac","2010",0,1,1
"Larry Blackmon","2018",0,1,1
"Good One Robot","2013",0,1,1
"Angeylinaaa","2017",0,1,1
"Taylor Slow","2010",0,1,1
"Erupt","2018",0,1,1
"The Shaman","2009",0,1,1
"Carmine","2018",0,1,1
"The Sheriff of Nottingham","2012",0,1,1
"Lou Ciello","2014",0,1,1
"Dr. Green","2017",1,1,2
"Delna","2015",0,1,1
"Korbato Krim","2023",0,1,1
"Maude","2011",0,1,1
"Alister Brown","2021",1,0,1
"Dr. Julius Jackson","2016",0,1,1
"J. Montgomery Scott","2010",0,2,2
"Mackenzie Bergentrack","2017",1,0,1
"Crystal Del Rey Jenner","2020",0,1,1
"Mrs. and Mr. Dash","2021",0,1,1
"Benjamin Susix III","2015",0,1,1
"Clint Screams","2019",0,1,1
"Nathan Brantley","2009",0,1,1
"Mr. Monroe","2020",0,1,1
"Pearl Henderson","2022",0,1,1
"Byron Denniston","2013",0,1,1
"Damian Vast","2010",0,1,1
"Bridgette Murphy","2014",1,0,1
"Tobias Boothby","2022",0,1,1
"Bane","2018",0,1,1
"Ducky Powell","2013",1,1,2
"Luke","2018",0,1,1
"Qthor","2014",0,1,1
"Brendin' Fishin'","2019",0,1,1
"Gigantic Dan","2020",0,1,1
"Randy Snutz","2017",0,1,1
"Beverly Gunt","2016",0,1,1
"Guy Le Biscuit","2016",0,1,1
"Destiny","2023",0,1,1
"Lon Smudge","2013",0,1,1
"Susan Greenberg","2017",0,1,1
"Lord Dingle","2017",0,1,1
"Dorothy Charlessss","2018",0,1,1
"Gary Candles","2021",0,1,1
"Ivanka Silversan","2015",0,1,1
"Tamara G","2012",0,1,1
"Andy Pappage","2015",0,1,1
"Anniversary Man the Demon","2023",0,1,1
"Robert Canasta","2023",0,1,1
"Bridget Jones","2022",1,1,2
"Darlington Cassel","2018",0,1,1
"Joe Squib","2017",0,1,1
"Mrs. Blarrr","2016",0,1,1
"Lindsay McMulligan","2021",0,1,1
"Myrtle McGee","2022",0,1,1
"P'Nut","2017",1,0,1
"Michael Explosione, Jr.","2015",0,1,1
"Mr. Sing","2023",0,1,1
"Stash Polinyac","2010",0,1,1
"Olivier & Wiliger Wronge","2016",1,1,2
"Gordon Ramsay","2013",0,1,1
"Jim Jones","2012",0,1,1
"Sprague The Whisperer","2021",2,2,4
"Alimony Tony","2022",0,2,2
"Scapegoat Smith","2022",0,1,1
"Dr. Peter Fash","2018",0,1,1
"Trice E","2012",0,1,1
"Zach Swasson","2016",0,1,1
"Peanut Parton","2022",1,1,2
"Virginia Patricia","2019",1,0,1
"Slippy Daniels","2018",1,0,1
"Dr. Bill Phil","2016",0,1,1
"Big One","2018",1,0,1
"Chief Inspector Yoplait","2017",0,1,1
"Tricia L.","2017",0,1,1
"Carol Sheldon","2014",0,1,1
"Huanhuan the Olympic Mascot","2012",0,1,1
"Missy & Winsome Prejudice","2015",0,1,1
"Kirk Rocker","2009",0,1,1
"Anthony Rivera","2009",0,1,1
"Clive Dundee","2011",0,1,1
"Kurt Slammer","2023",0,1,1
"Peter Finn","2016",0,2,2
"Angel Coliciwo","2016",0,1,1
"Jeff","2020",0,1,1
"Appetizer PeeE Neur","2019",1,0,1
"Pastor Rhe Holner","2010",0,1,1
"Skints McGlinty","2021",1,0,1
"Vance H.","2018",0,1,1
"The Kid Who Saw Mommy Kissing Santa Claus","2020",1,0,1
"Logan Conley","2014",0,1,1
"George Washington Carver","2020",0,1,1
"Dorothea Shirley","2015",0,1,1
"Fitch Pender ","2015",0,1,1
"Alan Rickman","2011",0,1,1
"Corny Grandpa","2015",0,1,1
"Don Darling","2016",0,2,2
"Isles","2012",0,1,1
"Beth","2018",1,0,1
"Sarah Silverman","2013",0,1,1
"Arnold Clem","2017",0,1,1
"Tom Jimson","2015",0,1,1
"Yogi Gussy","2019",0,1,1
"B Money Dubbz","2013",0,1,1
"Crap Pollo","2016",0,1,1
"Sherry Pie","2023",0,1,1
"Pat and Scat Hamptoncrat","2018",1,0,1
"Idaho","2018",0,1,1
"Scott Jeffries","2013",0,1,1
"Bone Queef","2017",1,2,3
"Nancy Cooper","2012",0,1,1
"Norm Hamer","2016",1,0,1
"HP-DP-69B","2016",0,1,1
"Lord Andrew Lloyd Webber","2010",4,3,7
"Tom Boreman","2016",0,1,1
"The Rum Tum Tugger","2019",0,1,1
"Dov Charney","2012",0,1,1
"Brock Lovett","2022",2,1,3
"Deb","2019",0,1,1
"Patrick McMahon","2014",1,0,1
"This Is Your Boy Troy","2017",0,1,1
"Bob Ducca","2019",0,1,1
"Mr. Camp","2019",0,1,1
"Joan Pedestrian","2021",0,1,1
"Bishop R.L. Bakes","2020",0,1,1
"Harmony Moongloss","2016",0,1,1
"Seth Berkowitz","2020",0,1,1
"Bridget Jones","2023",0,1,1
"Lavinia Marsh Caruthers","2021",0,1,1
"Mall McCartney","2013",0,1,1
"Myrtle McGee","2023",0,1,1
"Kiwi Kris","2019",0,1,1
"Peter Griffin","2019",0,1,1
"Dr. Peter Fash","2016",0,1,1
"Jarles","2022",3,0,3
"Brian Pieces","2012",1,0,1
"Morpheus, The Dream Lord","2018",2,1,3
"Dr. Frasier Boss","2011",0,1,1
"Chip Gardner","2012",0,1,1
"Carmella Areola","2021",0,1,1
"Miss Listler","2019",0,1,1
"Mary Berry","2018",0,1,1
"P.A.I.G.E.","2022",1,0,1
"Beth","2016",1,1,2
"Michael Jordan","2022",0,1,1
"Petey Tweety","2019",0,1,1
"Francesca Bolognese","2022",1,2,3
"Leo Karpatze","2020",0,1,1
"Margery Kershaw","2018",1,0,1
"Becky","2020",0,2,2
"Jesse Ventura","2013",1,4,5
"Jean Rottenberry","2016",0,1,1
"Hot Dog","2023",0,2,2
"Chico Hands","2018",1,0,1
"Jack Furz","2021",0,1,1
"Big Sue","2016",0,3,3
"Alan Thicke","2013",1,3,4
"Dash Grabum","2019",1,1,2
"Bisby St. Hancock","2017",1,0,1
"Liz","2014",0,1,1
"Archie Butts","2016",0,1,1
"Ernie Bread","2017",1,0,1
"Willard ""Willy"" Mapleton","2017",0,1,1
"Francesca Bolognese","2023",0,1,1
"Mary Lisa","2021",0,1,1
"Randy Snutz","2019",1,0,1
"Big Sue","2015",0,1,1
"Bro","2012",1,0,1
"Bueford LeBaron","2012",0,1,1
"Ghost Boy","2017",0,1,1
"John Lennon","2022",0,2,2
"Marissa Wompler","2012",3,2,5
"Big Chunky Bubbles","2023",0,1,1
"Ernie Bread","2019",0,1,1
"Bone Queef","2019",0,1,1
"El Chupacabra","2012",1,2,3
"Fourvel","2013",1,0,1
"Bisby St. Hancock","2019",0,1,1
"Big Chunky Bubbles","2022",1,1,2
"Lord Andrew Lloyd Webber","2023",0,2,2
"Mike the Janitor","2021",1,0,1
"Victor Diamond","2017",0,1,1
"Miss Listler","2017",0,2,2
"Hot Dog","2022",1,0,1
"Chico Hands","2014",1,0,1
"Dalton Wilcox","2022",1,0,1
"Brock Lovett","2023",0,1,1
"Mike the Janitor","2012",0,1,1
"Doug Gropes","2020",0,1,1
"Bill Walton","2021",1,1,2
"Huell Howser","2012",0,3,3
"Bob Ducca","2017",1,0,1
"Werner Herzog","2022",0,1,1
"Garry Marshall","2017",1,0,1
"Jesse Ventura","2009",1,0,1
"JW Stillwater","2020",1,0,1
"Justin the Pickup Artist","2021",0,1,1
"Dalton Wilcox","2023",0,1,1
"Lord Andrew Lloyd Webber","2022",0,1,1
"Gino Lombardo","2021",3,0,3
"John Lennon","2023",0,1,1
"Pam John","2014",0,1,1
"Dirk Thirsty","2018",1,0,1
"Ho Ho the Elf","2020",1,0,1
"Tiny","2014",1,2,3
"Bitsy Boo-Carmichael","2015",0,2,2
"Reverend Robert Parsimony","2015",1,1,2
"Judge Heaux Brown","2019",0,2,2
"Orville Redenbacher","2020",1,0,1
"Leo Williams","2018",0,1,1
"Margie Donk","2014",0,1,1
"Salantame","2015",1,0,1
"Hypnoto the Mesmerist","2018",0,1,1
"Mike","2020",0,1,1
"JoJo Benassi","2020",0,1,1
"Cody","2023",0,1,1
"Bicky","2022",1,1,2
"Timmy","2018",0,1,1
"Chris Matthews","2017",1,0,1
"Young Scott Aukerman","2022",0,1,1
"Dude Fiero","2022",0,1,1
"Coco Marx","2014",1,0,1
"Matilda","2016",0,1,1
"Edmond Carlyle","2016",1,0,1
"Tommy Scuzz","2017",1,0,1
"Bullets Jackson","2020",1,0,1
"Grandma Jonesy","2010",0,1,1
"Henry Heimlich","2022",0,2,2
"Ron Snapper","2022",0,1,1
"Brad Hammerstone","2015",1,0,1
"Pimsy the Elf","2010",1,0,1
"Big Sue Claus","2018",1,0,1
"Shaggy","2012",0,1,1
"Rod Ogg","2012",1,0,1
"Russ","2014",0,1,1
"Little Bump","2016",0,1,1
"Slow Pesci","2017",1,0,1
"Chester Tumphrie","2020",0,1,1
"Jesse Ventura","2010",3,4,7
"Alan Stubbs","2022",1,0,1
"Renalda","2016",0,1,1
"Golly","2014",1,0,1
"Chad Warren","2015",1,0,1
"Fred Guinness","2023",0,2,2
"Mark Van Driel","2012",0,1,1
"Joan Pedestrian","2020",0,1,1
"Willee Lippcshitz","2019",0,1,1
"Jack Pot","2018",1,0,1
"Darryl Who","2021",0,1,1
"Sam Darling","2011",0,1,1
"Leia","2023",0,1,1
"Allen Woody","2019",0,1,1
"Steve Spinx","2022",1,0,1
"The Time Keeper","2016",2,3,5
"Hot Dog","2013",0,1,1
"Gustav Dudamel","2016",0,1,1
"Jazz Jazz the Barber","2013",0,1,1
"Bishop R.L. Bakes","2021",0,1,1
"Craig Pullin","2012",0,1,1
"Bathina Salts","2022",0,1,1
"Donny Gary","2016",1,0,1
"Dreama Peaches","2014",0,1,1
"Cabin Fevver","2023",0,1,1
"Maximo Tootie","2022",0,1,1
"Nancy Yi","2018",0,1,1
"Tob Handlez","2016",0,1,1
"Ellen Norton-Simon Harris-Finley Finister","2022",0,1,1
"Ethan Coen","2011",0,1,1
"Tanya Baxter","2021",1,0,1
"Dave Theune","2022",0,1,1
"Mary Ford","2020",0,1,1
"Branston Chastman","2019",1,0,1
"Kimmy","2013",1,0,1
"Cal Solomon","2016",1,1,2
"Mr. G","2013",0,1,1
"Mikhail Titscoffski","2016",0,1,1
"Chris and Chris Starbo","2020",1,0,1
"Regina Crimp","2016",0,2,2
"Trish Trasch","2016",0,1,1
"Kanye East","2010",0,1,1
"Auntie Renee","2020",0,1,1
"Woody Allen","2016",0,1,1
"Antonio Lambrinidis","2020",1,0,1
"Lena Dunne Homme","2022",0,1,1
"Lucy Bukater","2022",1,0,1
"Bill Rantin","2020",0,1,1
"Matt Yanni","2015",0,1,1
"Philippe Meloco","2014",1,0,1
"Barry Big","2018",0,1,1
"Eddie Lee Capers","2021",1,0,1
"Murphy O'Malaman","2016",0,1,1
"Tracy M.","2019",1,0,1
"Charles Manson","2017",0,1,1
"Doreen Blachly","2019",0,1,1
"Dickie Donnelly","2022",0,2,2
"Tommy the Green Power Ranger","2021",0,1,1
"Prince Chinedu","2017",0,1,1
"Chief Queef","2012",0,1,1
"Bryce Cripple","2016",0,1,1
"Smaug","2014",0,1,1
"K of the Cosmos","2014",0,1,1
"Liz Mathers","2014",1,0,1
"Sammy Samantha","2021",0,1,1
"Jasky Tasky","2019",0,1,1
"Perry Gordon","2019",0,1,1
"Rudi North","2019",1,2,3
"Dalton Wilcox","2013",0,1,1
"Gringo Starr","2017",0,1,1
"Vin Diesel","2015",0,1,1
"Brian Pieces","2011",0,1,1
"Victor Ramos","2013",0,2,2
"Martin Sheffield Lickly","2022",0,2,2
"Peppers McGilly","2018",1,0,1
"Evan","2013",0,1,1
"Randy H. Over","2019",0,1,1
"Chris Creen","2019",0,1,1
"Bill Carter","2010",0,1,1
"Craigory James","2016",0,1,1
"Chrysanthemum Trummers","2021",0,2,2
"Eugenia Wobbles","2019",0,1,1
"Joe ""Pinions"" Rudolph","2017",0,1,1
"Dr. Frasier Boss","2012",0,1,1
"Karen Porter","2013",0,1,1
"Old Man Juarez","2012",0,1,1
"Squawks","2020",0,1,1
"BB-8","2015",0,1,1
"Chip Gardner","2011",1,0,1
"Ramsey Wayne","2014",0,1,1
"Mariska Beenaboutta","2022",0,1,1
"Phil Wiggins","2019",0,1,1
"Carmine DeLonge","2022",1,0,1
"Marissa Wompler","2011",1,1,2
"Veronica","2014",0,2,2
"Christopher Hitchens","2012",1,2,3
"Sylvester Stallone","2013",1,0,1
"'China'","2016",1,0,1
"Leanne","2023",0,1,1
"Raymond Flapper","2016",0,1,1
"Bob Cage","2011",0,1,1
"The Super Secret Shopper","2019",0,1,1
"Amber Lee Tots","2020",0,1,1
"Andrew Dice Clay","2017",1,0,1
"Chris Dante","2016",0,1,1
"The Answer Seeker","2021",0,1,1
"Baby Boy Boy","2021",0,1,1
"Kyle Bennet","2016",0,1,1
"Wally Cobb","2016",0,1,1
"Kaitlin","2019",1,0,1
"Lisa Porsche","2016",0,1,1
"Mark Zuckerberg","2010",0,1,1
"Johnny “Delta” Johnson","2017",0,1,1
"Mark Patsy","2021",0,1,1
"Peonis Pilates","2022",0,1,1
"Tiny","2015",0,4,4
"Bitsy Boo-Carmichael","2014",0,1,1
"Salantame","2016",0,1,1
"Bicky","2023",0,1,1
"Albert Roe","2022",0,1,1
"Henry Heimlich","2023",0,1,1
"Danny Mahoney","2009",1,0,1
"Captain Chesley “Sully” Sullenberger","2016",0,3,3
"O. J. Simpson","2019",1,2,3
"Brad Hammerstone","2014",0,2,2
"The Washington Monugents","2012",0,1,1
"Miss D.","2014",0,1,1
"Byron Denniston","2023",0,1,1
"Orson Welles' Ghost","2014",0,1,1
"Sir Sean Connery","2013",0,1,1
"Carmella Pointe","2016",0,1,1
"Carly","2012",0,1,1
"Bro","2011",1,0,1
"Original Fig","2022",0,2,2
"Percy Perryweather","2014",0,1,1
"Matilda Gravyman","2022",0,1,1
"Captain Moustache","2019",0,1,1
"Nick Nolte","2016",0,1,1
"Bueford LeBaron","2011",0,1,1
"Atherton Witherflower","2022",0,1,1
"Prince Chinedu","2019",0,1,1
"Cactus Tony","2014",1,0,1
"Liza Minnelli","2012",0,1,1
"Cordwood Pete Bunyan","2022",0,1,1
"Rudi North","2017",1,0,1
"Bill Walton","2020",1,1,2
"'China'","2015",1,0,1
"Roger Peculiar","2020",1,0,1
"Messmore LeBaron","2010",0,1,1
"Keith Jones","2016",1,0,1
"Reverend Robert Parsimony","2016",0,1,1
"Margie Donk","2016",0,1,1
"Darren Matichek","2020",1,0,1
"The Bachelor Brothers","2017",0,1,1
"Fred Head","2022",0,1,1
"The Time Keeper","2015",2,1,3
"Skipp Dribbles","2022",0,1,1
"Seth Berkowitz","2021",0,1,1
"Regina Crimp","2014",0,1,1
"Charles Manson","2019",0,1,1
"Captain Moustache","2017",0,1,1
"Richard Harrow's Ghost","2016",0,2,2
"Reverend Robert Parsimony","2014",1,1,2
"Bjork","2014",0,1,1
"Dov Charney","2011",0,2,2
"Byron Denniston","2022",2,0,2
"Chris Mindy","2010",1,0,1
"Bean Dip","2018",0,2,2
"The Contraptionaire","2017",0,1,1
"Cake Boss","2016",0,4,4
"Santa Claus","2022",0,1,1
"Todd","2013",0,1,1
"Tiny","2016",1,3,4
"Merrill Shindler","2014",0,1,1
"August Lindt","2010",1,0,1
"Huell Howser","2011",0,2,2
"Fabrice Fabrice","2019",0,1,1
"Don DiMello","2014",2,0,2
"Shelly Driftwood","2021",0,1,1
"Entrée PeeE Neur","2022",0,1,1
"Werner Herzog","2013",1,2,3
"Sprague The Whisperer","2020",2,1,3
"Leo Karpatze","2021",0,1,1
"Traci Rearden","2017",0,1,1
"August Lindt","2023",0,1,1
"Don DiMello","2016",0,1,1
"Lord Andrew Lloyd Webber","2013",2,3,5
"Gino Lombardo","2020",4,1,5
"Al A. Peterson","2021",1,0,1
"Cal Solomon","2018",1,0,1
"El Chupacabra","2011",0,2,2
"Cake Boss","2015",1,0,1
"Cake Boss","2014",1,1,2
"Leo Karpatze","2022",0,1,1
"Scott Jeffries","2012",0,2,2
"Kanye West","2015",0,1,1
"Eddie Floatley","2013",0,1,1
"Jeffrey Characterwheaties","2015",1,0,1
"Ted Kemper","2019",0,1,1
"Colin Ramsey","2017",0,1,1
"Dagmar the Small","2017",1,2,3
"Tam Pasture","2023",0,1,1
"Adjacent Mantzoukas","2022",0,1,1
"Ted Newguy","2023",0,1,1
"Belissima","2015",1,0,1
"Maya Angelou","2010",0,1,1
"Sharon","2020",1,0,1
"Ursula","2023",0,1,1
"DJ Forsythia","2012",0,1,1
"Nancy Cooper","2013",0,1,1
"Norm Hamer","2017",1,0,1
"Katie Wong","2014",1,0,1
"Jack Fitzgerald","2013",0,1,1
"Thomas Mashed-Potatoes","2022",0,1,1
"Jacob Cloudy","2015",0,1,1
"Willard ""Willy"" Mapleton","2016",1,3,4
"Seth Wompler","2015",0,2,2
"Lord Andrew Lloyd Webber","2011",0,3,3
"Albert Roe","2021",1,2,3
"JP Fossord","2021",0,1,1
"Margita Chelco","2016",0,1,1
"Max the Dog","2022",0,1,1
"Chandeline Jean","2017",0,1,1
"Susie Tewman","2023",0,1,1
"Jed Kemper","2019",0,1,1
"Snagglepuss","2012",0,1,1
"Lloyd Garterbelt","2022",0,1,1
"Ross Geller","2017",0,1,1
"This Is Your Boy Troy","2016",0,1,1
"The Watch Maker","2016",0,1,1
"Fred Head","2021",1,0,1
"Michael Lindsay-Hogg","2021",1,0,1
"Bang Rodgers","2015",1,0,1
"Bunty Pickles","2017",0,1,1
"Mike the Janitor","2013",1,0,1
"Coach Joel GanVundi","2019",0,1,1
"Dabney","2015",0,2,2
"Dicker Troy","2016",0,1,1
"Gino Carpuzzi","2020",1,0,1
"Bobby Jenson","2009",0,1,1
"Kylie Bloom","2011",0,1,1
"Ken Lunch","2023",0,1,1
"Amy Sleeverson","2020",0,1,1
"Mary Jane Kim","2021",0,1,1
"Usidore the Blue","2016",0,1,1
"Michael Explosione, Sr.","2015",0,1,1
"Nookie","2020",1,0,1
"Manic Jimmy Stewart","2011",0,1,1
"Bob Parks","2021",0,1,1
"Chris Grezlik","2019",0,1,1
"Ms. Anderson","2015",0,1,1
"Michael Jackson's Ghost","2009",0,1,1
"Ethel Branscome","2012",0,1,1
"Frank Caliendo","2012",0,1,1
"Frederick Rogers","2017",0,1,1
"Yaslenny Madelin","2021",0,1,1
"Brett","2023",0,1,1
"Dr. Traygo","2013",0,1,1
"Queen Cleopatra","2018",0,1,1
"Harmony Moongloss","2019",0,1,1
"Conchneee","2018",0,1,1
"Joel Coen","2011",0,1,1
"Anaheim Dumpsterbitch","2022",0,1,1
"Dale Creamy","2020",0,1,1
"Cody Calavera","2016",0,1,1
"American Jimmy","2023",0,1,1
"Leonard Jonas","2019",0,1,1
"Coach Billips","2021",0,1,1
"Mr. Monster","2023",0,1,1
"Dinky Liddle","2016",0,1,1
"Eli Fuseli","2021",0,1,1
"Johnny Bikes","2017",0,1,1
"Liberty DeVito","2017",0,1,1
"Alfie Kangas","2015",0,1,1
"Lorenzo Borgia","2021",0,1,1
"Tim Bullock","2022",0,1,1
"MC Sugar Butt","2022",1,2,3
"Big Sue","2019",1,1,2
"Michael Crappaport","2010",0,1,1
"Chase Varner","2018",1,0,1
"Mrs. Potts","2015",0,1,1
"Trey Bergentrack","2017",1,0,1
"Martha","2022",0,1,1
"Dina Dennis","2019",0,1,1
"Mr. Met","2019",0,1,1
"Kyle Chutney","2023",0,1,1
"Gil Faizon","2015",2,0,2
"Ydeda Elaine Brown","2016",0,1,1
"Bud Frakely","2021",0,1,1
"Claire Woodruff","2010",0,1,1
"Original Fig","2021",0,1,1
"Fryvault","2014",1,0,1
"Doug Gropes","2022",1,2,3
"JT McDowell","2012",0,1,1
"Kiwi Kris","2018",1,1,2
"Ricky Johnson","2023",0,1,1
"Dash Grabum","2018",1,1,2
"Stanley Chamberlin","2019",2,0,2
"Peter Griffin","2018",1,0,1
"Lin-Manuel Miranda","2018",0,1,1
"Jerry","2010",1,0,1
